Code,Name,Latitude,Longitude,Google Place ID
32.04,Kab. Bandung,-7.1340702,107.6215321,ChIJsdcXjLjuaC4R4Lgo_PHoAQM
32.17,Kab. Bandung Barat,-6.8652214,107.4919767,ChIJxxBSSOj6aC4RWMd-J5yi7Eg
32.16,Kab. Bekasi,-6.366723,107.1735638,ChIJv4cuuHGGaS4Ril-OFHGHMec
32.01,Kab. Bogor,-6.5517758,106.6291304,ChIJN4R5EuPDaS4RkLn-FG1XAQM
32.07,Kab. Ciamis,-7.3320773,108.3492543,ChIJo8LzLweLZS4RMLoo_PHoAQM
32.03,Kab. Cianjur,-7.3579773,107.1957203,ChIJYZu6x5RcaC4R8Lko_PHoAQM
32.09,Kab. Cirebon,-6.7560624,108.5528678,ChIJHzn4cgAdby4RoxOsxgh6-hY
32.05,Kab. Garut,-7.5012204,107.763621,ChIJhcCnZKOmaC4R8Lgo_PHoAQM
32.12,Kab. Indramayu,-6.4557326,108.1903059,ChIJYYfXPVLIbi4RMLko_PHoAQM
32.15,Kab. Karawang,-6.3227303,107.3375791,ChIJAQ7neV53aS4R4Ln-FG1XAQM
32.08,Kab. Kuningan,-7.0138053,108.5700636,ChIJF_Y7zjYSby4RULoo_PHoAQM
32.10,Kab. Majalengka,-6.7790605,108.2852049,ChIJQwayP7Ioby4RELko_PHoAQM
32.18,Kab. Pangandaran,-7.6150611,108.4988269,ChIJZRshSM6WZS4R9gf8GCWI3hg
32.14,Kab. Purwakarta,-6.5649241,107.4321959,ChIJCfDXmQoPaS4RULko_PHoAQM
32.13,Kab. Subang,-6.3487617,107.763621,ChIJNbaBXo0-aS4RQLko_PHoAQM
32.02,Kab. Sukabumi,-6.8791499,106.9474101,ChIJX5RzijVKaC4RiqMawgCDLXs
32.11,Kab. Sumedang,-6.832858,107.9531836,ChIJKWD9d0DUaC4RILko_PHoAQM
32.06,Kab. Tasikmalaya,-7.6513306,108.1428669,ChIJxTIXhcH4ZS4RALko_PHoAQM
32.73,Kota Bandung,-6.885969,107.616301,ChIJ8T93T__maC4RRdUEsVHVBzQ
32.79,Kota Banjar,-7.3706874,108.5342487,ChIJz95gJvthby4RQOEo_PHoAQQ
32.75,Kota Bekasi,-6.2733758,106.9830865,ChIJPWOtRoWNaS4ReCBAZYne6Hk
32.71,Kota Bogor,-6.5971469,106.8060388,ChIJtarWDErEaS4RoLn-FG1XAQM
32.77,Kota Cimahi,-6.8840816,107.5413039,ChIJF3a_jj7kaC4R4HQp_PHoAQU
32.74,Kota Cirebon,-6.7560624,108.5528678,ChIJHzn4cgAdby4RoxOsxgh6-hY
32.76,Kota Depok,-6.4024844,106.7942405,ChIJn968KAjsaS4R8CQFFW1XAQM
32.72,Kota Sukabumi,-6.9277361,106.9299579,ChIJ9USebCVIaC4R1hXDaRaaznU
32.78,Kota Tasikmalaya,-7.3505808,108.2171633,ChIJb1dMkuVWby4RACUv_PHoAQM
