Code,Name,Latitude,Longitude,Google Place ID
35.26,Kab. Bangkalan,-7.038375,112.9136695,ChIJe-aBiYgZ2C0RcIrN43Z6AgM
35.10,Kab. Banyuwangi,-8.2190944,114.3691416,ChIJ76wUlxZU0S0R4LxS43Z6AgM
35.05,Kab. Blitar,-8.0954627,112.1609056,ChIJPT2wARjreC4R8LxS43Z6AgM
35.22,Kab. Bojonegoro,-7.3174629,111.7614661,ChIJ8TFS8CR-dy4RgL5S43Z6AgM
35.11,Kab. Bondowoso,-7.9673906,113.9060624,ChIJH9nkRSXF1i0RAL1S43Z6AgM
35.25,Kab. Gresik,-7.1649392,112.6394361,EnRKbC4gRHIuIFdhaGlkaW4gUy5ILiBHZy4gSUkgQyBOby4yLCBQdXRhdCBMdWFyLCBTdWtvcmFtZSwgS2VjLiBHcmVzaWssIEthYnVwYXRlbiBHcmVzaWssIEphd2EgVGltdXIgNjExMjEsIEluZG9uZXNpYSIwEi4KFAoSCZ8PORZpANgtER1yFfs0xYTeEAIqFAoSCb_6JTxpANgtEa2ygRrb5__I
35.09,Kab. Jember,-8.1844859,113.6680747,ChIJd4feq6eQ1i0RLt2jgwxztt4
35.17,Kab. Jombang,-7.5740867,112.28609,ChIJMZo1j5RqeC4RIL1S43Z6AgM
35.06,Kab. Kediri,-7.8232397,112.1907122,ChIJ32UO0p1ZeC4RUL1S43Z6AgM
35.24,Kab. Lamongan,-7.1269261,112.3337769,ChIJl-g9lPTzdy4RkL1S43Z6AgM
35.08,Kab. Lumajang,-8.0943571,113.1441558,ChIJq1Vyx4lC1i0RoL1S43Z6AgM
35.19,Kab. Madiun,-7.6093306,111.6183755,ChIJI8co1s25eS4RYL5S43Z6AgM
35.20,Kab. Magetan,-7.6433138,111.356045,ChIJ85hyVNuTeS4RsL5S43Z6AgM
35.07,Kab. Malang,-8.242209,112.7152125,ChIJ2XD8XZsg1i0RsL1S43Z6AgM
35.16,Kab. Mojokerto,-7.563831,112.4768287,ChIJuzWP3ehzeC4RML5S43Z6AgM
35.18,Kab. Nganjuk,-7.5943507,111.9045541,ChIJ0ShiRuFLeC4RwL1S43Z6AgM
35.21,Kab. Ngawi,-7.460987,111.3321974,ChIJAbZuU7voeS4RkL5S43Z6AgM
35.01,Kab. Pacitan,-8.1850094,111.1031849,ChIJh_851uVheS4R3SmfRuvHrcA
35.28,Kab. Pamekasan,-7.1050857,113.5252319,ChIJcWcFDLXW2S0RgIrN43Z6AgM
35.14,Kab. Pasuruan,-7.7859961,112.858217,ChIJ7bXth9fN1y0R0L1S43Z6AgM
35.02,Kab. Ponorogo,-7.8650759,111.4696322,ChIJUej-nIULeS4RoL5S43Z6AgM
35.13,Kab. Probolinggo,-7.8717562,113.4776098,ChIJNftklY1T1i0R4L1S43Z6AgM
35.27,Kab. Sampang,-7.0402326,113.2394452,ChIJff5hWeou2C0RkIrN43Z6AgM
35.15,Kab. Sidoarjo,-7.4726134,112.6675398,ChIJv9yOhKDh1y0R8L1S43Z6AgM
35.12,Kab. Situbondo,-7.7888522,114.1914951,ChIJE-vQ217W1i0RAL5S43Z6AgM
35.29,Kab. Sumenep,-6.9253999,113.9060624,ChIJ5ULariD_2S0RoIrN43Z6AgM
35.03,Kab. Trenggalek,-8.1824112,111.6183755,ChIJN5habCgReS4REL5S43Z6AgM
35.23,Kab. Tuban,-6.8949099,112.0416754,ChIJwdlJhsSidy4RHcHMFgJo2xQ
35.04,Kab. Tulungagung,-8.0843211,111.9045541,ChIJuRC2TrfjeC4RIL5S43Z6AgM
35.79,Kota Batu,-7.8623425,112.5053023,ChIJB17pWkGHeC4R10vXXDgYSfY
35.72,Kota Blitar,-8.0954627,112.1609056,ChIJPT2wARjreC4R8LxS43Z6AgM
35.71,Kota Kediri,-7.8480156,112.0178286,ChIJRwZu_Q1XeC4Rstkzg5Z7AyU
35.77,Kota Madiun,-7.6310587,111.5300159,ChIJMzqBfFO-eS4RrlNaVHPx4q8
35.73,Kota Malang,-7.9508473,112.6624085,ChIJOSUsspUp1i0R20w1Kydgk84
35.76,Kota Mojokerto,-7.4704747,112.4401329,ChIJgw3lgDwOeC4RQL1S43Z6AgM
35.75,Kota Pasuruan,-7.6469193,112.8999225,ChIJ31f7peHF1y0RloB23o2VjL4
35.74,Kota Probolinggo,-7.7764226,113.2037131,ChIJeebJwJmt1y0RgWHFp_rQxUY
35.78,Kota Surabaya,-7.225452,112.7596424,ChIJCzDj1QH51y0Rd5o04_E8A-0
