Code,Name,Latitude,Longitude,Google Place ID
81,Maluku,-3.2384616,130.1452734,ChIJ36EccLq8ES0RUZpkBNvoMF4
82,Maluku Utara,1.5709993,127.8087693,ChIJszIkro6uni0RwBr3yvsLAwE
52,Nusa Tenggara Barat,-8.6529334,117.3616476,ChIJIe0SGpQNuC0RxXX30MzCZ2k
53,Nusa Tenggara Timur,-8.6573819,121.0793705,ChIJlzbpqE3yUiwR4Br3yvsLAwE
91,Papua,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
92,Papua Barat,-1.3361154,133.1747162,ChIJLQviub0KVC0RYsvHxfjBSVM
95,Papua Pegunungan,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
93,Papua Selatan,-8.4973832,140.395268,ChIJcT0LMnAYtWkRCOADlKzveE4
94,Papua Tengah,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
96,Papua Barat Daya,-1.16667,131.5,
