Code,Name,Latitude,Longitude,Google Place ID
11,Nanggroe Aceh Darussalam,4.695135,96.7493993,ChIJvcR8UN-bOTARYMogsoCdAwE
51,Bali,-8.4095178,115.188916,ChIJoQ8Q6NNB0S0RkOYkS7EPkSQ
36,Banten,-6.4058172,106.0640179,ChIJmbkNxNaKQS4R6bMai6ua074
17,Bengkulu,-3.7928451,102.2607641,ChIJeZLjNx6wNi4R6qaQ53a1eaA
34,Daerah Istimewa Yogyakarta,-7.8753849,110.4262088,ChIJxWtbvYdXei4R8LPIyrKSG20
31,DKI Jakarta,-6.1944491,106.8229198,ChIJnUvjRenzaS4RoobX2g-_cVM
75,Gorontalo,0.5326876,123.0598942,ChIJXeflmUcreTIRZ1kVIwlNzG0
15,Jambi,-1.6101229,103.6131203,ChIJO83is5qIJS4RDdmyCseZWtE
32,Jawa Barat,-7.090911,107.668887,ChIJf0dSgjnmaC4Rfp2O_FSkGLw
33,Jawa Tengah,-7.150975,110.1402594,ChIJ3RjVnJt1ZS4RRrztj53Rd8M
35,Jawa Timur,-7.5360639,112.2384017,ChIJxbXun_eToy0RULh8yvsLAwE
61,Kalimantan Barat,-0.2787808,111.4752851,ChIJu_7rjBcYBS4RoEghTO3sXM0
63,Kalimantan Selatan,-3.0926415,115.2837585,ChIJRbTSvTm33S0RE8GXt1C2fhQ
62,Kalimantan Tengah,-1.6814878,113.3823545,ChIJP5a8hrK_4i0Rrmv1g2fV288
64,Kalimantan Timur,0.5386586,116.419389,ChIJkZxNlhBH8S0R13bjLx2wq8Q
65,Kalimantan Utara,3.0730929,116.0413889,ChIJ9wvfNH0GDzIRiLlGaN3wERk
19,Kepulauan Bangka Belitung,-2.7410513,106.4405872,ChIJizmlLUMWFy4RuSOEsf04fhI
21,Kepulauan Riau,3.9456514,108.1428669,ChIJAQuH1E1l2TERvCSFiXW1RnI
18,Lampung,-4.5585849,105.4068079,ChIJpyKsUwF2Oy4RmrCJX8dYO48
81,Maluku,-3.2384616,130.1452734,ChIJ36EccLq8ES0RUZpkBNvoMF4
82,Maluku Utara,1.5709993,127.8087693,ChIJszIkro6uni0RwBr3yvsLAwE
52,Nusa Tenggara Barat,-8.6529334,117.3616476,ChIJIe0SGpQNuC0RxXX30MzCZ2k
53,Nusa Tenggara Timur,-8.6573819,121.0793705,ChIJlzbpqE3yUiwR4Br3yvsLAwE
91,Papua,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
92,Papua Barat,-1.3361154,133.1747162,ChIJLQviub0KVC0RYsvHxfjBSVM
95,Papua Pegunungan,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
93,Papua Selatan,-8.4973832,140.395268,ChIJcT0LMnAYtWkRCOADlKzveE4
94,Papua Tengah,-4.269928,138.0803529,ChIJc5L_qgQsO2gRc-bvXpxOqes
14,Riau,0.2933469,101.7068294,ChIJdz6xGVhXJy4Rsb21bJQCb4M
76,Sulawesi Barat,-2.8441371,119.2320784,ChIJCUS7VCTaki0R8nAzLyC_XOo
73,Sulawesi Selatan,-3.6687994,119.9740534,ChIJi75r_YD6DC0R8Br3yvsLAwE
72,Sulawesi Tengah,-1.4300254,121.4456179,ChIJPS2aZckJiC0RmWLbjP0zbkM
74,Sulawesi Tenggara,-1.8479,120.5279,ChIJMSoBqds3hS0RQnf0aNFRmrw
71,Sulawesi Utara,0.6246932,123.9750018,ChIJMZ4GcEJ1hzIRNbgMmBcWiUU
13,Sumatera Barat,-0.7399397,100.8000051,ChIJRUJ08Ey51C8RVTvVdblRsXA
16,Sumatera Selatan,-3.3194374,103.914399,ChIJLeo1PXWLEC4Rz8QB4gGB_Bg
12,Sumatera Utara,2.1153547,99.5450974,ChIJhxxy61r51y8RC8vXCYE-p6w
