Code,Name,Latitude,Longitude,Google Place ID
11,Nanggroe Aceh Darussalam,4.695135,96.7493993,ChIJvcR8UN-bOTARYMogsoCdAwE
13,Sumatera Barat,-0.7399397,100.8000051,ChIJRUJ08Ey51C8RVTvVdblRsXA
16,Sumatera Selatan,-3.3194374,103.914399,ChIJLeo1PXWLEC4Rz8QB4gGB_Bg
12,Sumatera Utara,2.1153547,99.5450974,ChIJhxxy61r51y8RC8vXCYE-p6w
17,Bengkulu,-3.7928451,102.2607641,ChIJeZLjNx6wNi4R6qaQ53a1eaA
21,Kepulauan Riau,3.9456514,108.1428669,ChIJAQuH1E1l2TERvCSFiXW1RnI
14,Riau,0.2933469,101.7068294,ChIJdz6xGVhXJy4Rsb21bJQCb4M
15,Jambi,-1.6101229,103.6131203,ChIJO83is5qIJS4RDdmyCseZWtE
18,Lampung,-4.5585849,105.4068079,ChIJpyKsUwF2Oy4RmrCJX8dYO48
19,Kepulauan Bangka Belitung,-2.7410513,106.4405872,ChIJizmlLUMWFy4RuSOEsf04fhI
